split,method,seed,episodes,success_rate,success_ci95,energy_mean,energy_ci95,final_distance_mean,final_distance_ci95,normalized_progress_mean,normalized_progress_ci95,failure_rate,normal_impulse_mean
low_friction,raw_force_scalar,0,12,0.0833,0.1633,0.2963,0.0517,0.2389,0.0562,0.2812,0.1599,0.0000,0.2343
low_friction,raw_force_scalar,1,12,0.0000,0.0000,0.3082,0.0670,0.2598,0.0682,0.3031,0.1443,0.0000,0.2361
low_friction,raw_force_scalar,2,12,0.0833,0.1633,0.2381,0.0464,0.1942,0.0453,0.4693,0.1240,0.0000,0.1983
low_friction,raw_force_scalar,3,12,0.0000,0.0000,0.2637,0.0361,0.1999,0.0439,0.3994,0.1495,0.0000,0.2552
low_friction,raw_force_scalar,4,12,0.0000,0.0000,0.3264,0.0622,0.2681,0.0641,0.2933,0.1577,0.0000,0.3120
low_friction,robust_domain_randomized_mpc,0,12,0.1667,0.2202,0.1592,0.0197,0.1137,0.0183,0.6551,0.0626,0.0000,0.1778
low_friction,robust_domain_randomized_mpc,1,12,0.1667,0.2202,0.1697,0.0227,0.1235,0.0247,0.6557,0.0672,0.0000,0.1815
low_friction,robust_domain_randomized_mpc,2,12,0.0833,0.1633,0.1556,0.0271,0.1201,0.0223,0.6721,0.0622,0.0000,0.2130
low_friction,robust_domain_randomized_mpc,3,12,0.0000,0.0000,0.1787,0.0178,0.1351,0.0193,0.5985,0.0721,0.0000,0.2362
low_friction,robust_domain_randomized_mpc,4,12,0.0000,0.0000,0.1796,0.0235,0.1389,0.0172,0.6279,0.0521,0.0000,0.2657
low_friction,source_action_transfer,0,12,0.0833,0.1633,0.1896,0.0229,0.1368,0.0291,0.5919,0.0751,0.0000,0.1974
low_friction,source_action_transfer,1,12,0.0000,0.0000,0.2190,0.0295,0.1600,0.0255,0.5577,0.0629,0.0000,0.2151
low_friction,source_action_transfer,2,12,0.0000,0.0000,0.2109,0.0282,0.1388,0.0306,0.6195,0.0850,0.0833,0.1929
low_friction,source_action_transfer,3,12,0.0000,0.0000,0.1935,0.0227,0.1385,0.0182,0.5901,0.0645,0.0000,0.2427
low_friction,source_action_transfer,4,12,0.0000,0.0000,0.2426,0.0306,0.1476,0.0267,0.6068,0.0704,0.0833,0.3218
nominal,cefv_full,0,12,0.2500,0.2559,0.1398,0.0239,0.1011,0.0205,0.6923,0.0509,0.0000,0.3646
nominal,cefv_full,1,12,0.3333,0.2786,0.1236,0.0139,0.0868,0.0122,0.7141,0.0471,0.0000,0.3636
nominal,cefv_full,2,12,0.2500,0.2559,0.1257,0.0226,0.0944,0.0144,0.7009,0.0402,0.0000,0.3846
nominal,cefv_full,3,12,0.3333,0.2786,0.1331,0.0127,0.0892,0.0141,0.7413,0.0386,0.0000,0.4301
nominal,cefv_full,4,12,0.0833,0.1633,0.1480,0.0155,0.1105,0.0136,0.6714,0.0409,0.0000,0.4137
nominal,geometry_mpc,0,12,0.2500,0.2559,0.1818,0.0200,0.1109,0.0204,0.6579,0.0573,0.0000,0.2855
nominal,geometry_mpc,1,12,0.0000,0.0000,0.1681,0.0151,0.1116,0.0140,0.6369,0.0448,0.0000,0.2939
nominal,geometry_mpc,2,12,0.0833,0.1633,0.1784,0.0203,0.1144,0.0183,0.6348,0.0547,0.0000,0.4576
nominal,geometry_mpc,3,12,0.0000,0.0000,0.1921,0.0161,0.1420,0.0240,0.5909,0.0575,0.0000,0.4208
nominal,geometry_mpc,4,12,0.0000,0.0000,0.1992,0.0130,0.1217,0.0149,0.6391,0.0410,0.0000,0.3947
nominal,oracle_embodiment_mpc,0,12,0.2500,0.2559,0.1385,0.0226,0.0971,0.0171,0.7018,0.0478,0.0000,0.3404
nominal,oracle_embodiment_mpc,1,12,0.3333,0.2786,0.1120,0.0200,0.0827,0.0159,0.7279,0.0577,0.0000,0.3726
nominal,oracle_embodiment_mpc,2,12,0.5833,0.2913,0.1162,0.0151,0.0817,0.0158,0.7410,0.0443,0.0000,0.4162
nominal,oracle_embodiment_mpc,3,12,0.3333,0.2786,0.1323,0.0125,0.0890,0.0140,0.7419,0.0385,0.0000,0.4330
nominal,oracle_embodiment_mpc,4,12,0.2500,0.2559,0.1381,0.0190,0.1005,0.0189,0.7063,0.0492,0.0000,0.3827
nominal,random_shooting,0,12,0.0000,0.0000,0.2754,0.0644,0.2180,0.0621,0.3313,0.1719,0.0000,0.3859
nominal,random_shooting,1,12,0.0000,0.0000,0.2518,0.0476,0.1925,0.0459,0.3601,0.1642,0.0000,0.2925
nominal,random_shooting,2,12,0.0000,0.0000,0.2307,0.0422,0.1909,0.0369,0.3715,0.1433,0.0000,0.4224
nominal,random_shooting,3,12,0.0000,0.0000,0.2521,0.0504,0.1934,0.0493,0.4345,0.1384,0.0000,0.5516
nominal,random_shooting,4,12,0.0833,0.1633,0.2749,0.0750,0.2188,0.0703,0.3671,0.1836,0.0000,0.3665
nominal,raw_force_scalar,0,12,0.0833,0.1633,0.2297,0.0572,0.1786,0.0521,0.4416,0.1645,0.0000,0.3695
nominal,raw_force_scalar,1,12,0.0833,0.1633,0.2093,0.0476,0.1715,0.0399,0.4408,0.1274,0.0000,0.3453
nominal,raw_force_scalar,2,12,0.0833,0.1633,0.2208,0.0521,0.1789,0.0508,0.4419,0.1346,0.0000,0.4789
nominal,raw_force_scalar,3,12,0.0000,0.0000,0.2366,0.0587,0.1857,0.0506,0.4722,0.1221,0.0000,0.4464
nominal,raw_force_scalar,4,12,0.0833,0.1633,0.3109,0.0740,0.2485,0.0604,0.2802,0.1555,0.0000,0.3319
nominal,robust_domain_randomized_mpc,0,12,0.1667,0.2202,0.1418,0.0228,0.1035,0.0192,0.6830,0.0487,0.0000,0.3816
nominal,robust_domain_randomized_mpc,1,12,0.4167,0.2913,0.1241,0.0139,0.0845,0.0121,0.7229,0.0434,0.0000,0.3756
nominal,robust_domain_randomized_mpc,2,12,0.2500,0.2559,0.1217,0.0150,0.0973,0.0152,0.6894,0.0459,0.0000,0.3935
nominal,robust_domain_randomized_mpc,3,12,0.3333,0.2786,0.1437,0.0210,0.0960,0.0235,0.7226,0.0626,0.0000,0.4292
nominal,robust_domain_randomized_mpc,4,12,0.0833,0.1633,0.1480,0.0155,0.1105,0.0136,0.6714,0.0409,0.0000,0.4137
nominal,source_action_transfer,0,12,0.1667,0.2202,0.1575,0.0309,0.1035,0.0193,0.6794,0.0611,0.0000,0.3449
nominal,source_action_transfer,1,12,0.2500,0.2559,0.1474,0.0242,0.1119,0.0258,0.6423,0.0676,0.0000,0.3233
nominal,source_action_transfer,2,12,0.1667,0.2202,0.1530,0.0301,0.1113,0.0185,0.6450,0.0566,0.0000,0.4083
nominal,source_action_transfer,3,12,0.0000,0.0000,0.1816,0.0217,0.1296,0.0207,0.6232,0.0551,0.0000,0.4051
nominal,source_action_transfer,4,12,0.1667,0.2202,0.1785,0.0319,0.1239,0.0270,0.6349,0.0756,0.0000,0.3627
